iter	Passed	Remaining
1346	3090	1498
1347	3091	1495
1348	3093	1492
1349	3095	1490
1350	3098	1488
1351	3099	1485
1352	3101	1483
1353	3103	1480
1354	3105	1478
1355	3107	1475
1356	3110	1473
1357	3116	1473
1358	3119	1471
1359	3121	1468
1360	3123	1466
1361	3125	1464
1362	3127	1461
1363	3130	1459
1364	3133	1457
1365	3135	1455
1366	3136	1452
1367	3138	1450
1368	3140	1447
1369	3142	1445
1370	3145	1443
1371	3147	1440
1372	3149	1438
1373	3151	1435
1374	3153	1433
1375	3155	1430
1376	3156	1428
1377	3159	1425
1378	3161	1423
1379	3163	1421
1380	3164	1418
1381	3166	1415
1382	3168	1413
1383	3169	1410
1384	3171	1408
1385	3173	1405
1386	3175	1403
1387	3177	1400
1388	3178	1398
1389	3180	1395
1390	3182	1393
1391	3183	1390
1392	3185	1388
1393	3187	1385
1394	3188	1382
1395	3190	1380
1396	3192	1377
1397	3193	1375
1398	3195	1372
1399	3197	1370
1400	3198	1367
1401	3200	1364
1402	3201	1362
1403	3203	1359
1404	3205	1357
1405	3206	1354
1406	3209	1352
1407	3211	1350
1408	3213	1347
1409	3215	1345
1410	3217	1343
1411	3219	1340
1412	3221	1338
1413	3224	1336
1414	3227	1334
1415	3230	1332
1416	3232	1329
1417	3234	1327
1418	3236	1324
1419	3237	1322
1420	3240	1320
1421	3242	1317
1422	3244	1315
1423	3246	1313
1424	3248	1310
1425	3250	1308
1426	3251	1305
1427	3253	1303
1428	3255	1300
1429	3258	1298
1430	3260	1296
1431	3261	1293
1432	3263	1291
1433	3265	1288
1434	3266	1286
1435	3268	1283
1436	3270	1281
1437	3272	1279
1438	3274	1276
1439	3275	1273
1440	3277	1271
1441	3278	1268
1442	3280	1266
1443	3281	1263
1444	3283	1261
1445	3285	1258
1446	3286	1256
1447	3288	1253
1448	3290	1251
1449	3292	1248
1450	3294	1246
1451	3296	1244
1452	3297	1241
1453	3299	1239
1454	3301	1236
1455	3304	1234
1456	3305	1232
1457	3307	1229
1458	3309	1227
1459	3310	1224
1460	3312	1221
1461	3313	1219
1462	3315	1216
1463	3317	1214
1464	3319	1212
1465	3321	1209
1466	3322	1207
1467	3324	1204
1468	3326	1202
1469	3327	1199
1470	3329	1197
1471	3330	1194
1472	3332	1192
1473	3334	1189
1474	3336	1187
1475	3338	1185
1476	3339	1182
1477	3341	1180
1478	3343	1177
1479	3344	1175
1480	3346	1172
1481	3348	1170
1482	3349	1167
1483	3352	1165
1484	3353	1163
1485	3355	1160
1486	3357	1158
1487	3358	1155
1488	3360	1153
1489	3361	1150
1490	3363	1148
1491	3365	1145
1492	3366	1143
1493	3368	1140
1494	3370	1138
1495	3371	1135
1496	3373	1133
1497	3374	1130
1498	3376	1128
1499	3378	1126
1500	3379	1123
1501	3381	1121
1502	3383	1118
1503	3385	1116
1504	3386	1113
1505	3388	1111
1506	3389	1109
1507	3391	1106
1508	3393	1104
1509	3394	1101
1510	3396	1099
1511	3398	1096
1512	3400	1094
1513	3402	1092
1514	3403	1089
1515	3405	1087
1516	3406	1084
1517	3408	1082
1518	3409	1079
1519	3411	1077
1520	3413	1074
1521	3415	1072
1522	3416	1070
1523	3418	1067
1524	3420	1065
1525	3421	1062
1526	3423	1060
1527	3425	1058
1528	3426	1055
1529	3428	1053
1530	3430	1050
1531	3432	1048
1532	3434	1046
1533	3435	1043
1534	3437	1041
1535	3439	1038
1536	3440	1036
1537	3442	1033
1538	3443	1031
1539	3445	1029
1540	3447	1026
1541	3449	1024
1542	3451	1022
1543	3452	1019
1544	3454	1017
1545	3455	1014
1546	3457	1012
1547	3458	1009
1548	3460	1007
1549	3463	1005
1550	3465	1003
1551	3467	1000
1552	3468	998
1553	3470	995
1554	3472	993
1555	3474	991
1556	3476	989
1557	3480	987
1558	3482	985
1559	3484	982
1560	3486	980
1561	3488	978
1562	3490	975
1563	3492	973
1564	3496	971
1565	3499	969
1566	3501	967
1567	3503	965
1568	3505	962
1569	3506	960
1570	3508	958
1571	3511	956
1572	3513	953
1573	3514	951
1574	3516	948
1575	3518	946
1576	3520	944
1577	3521	941
1578	3523	939
1579	3526	937
1580	3528	935
1581	3530	932
1582	3531	930
1583	3533	928
1584	3535	925
1585	3536	923
1586	3538	920
1587	3540	918
1588	3542	916
1589	3544	914
1590	3546	911
1591	3547	909
1592	3549	906
1593	3550	904
1594	3552	902
1595	3554	899
1596	3555	897
1597	3558	895
1598	3559	892
1599	3561	890
1600	3562	887
1601	3564	885
1602	3566	883
1603	3568	881
1604	3570	878
1605	3573	876
1606	3575	874
1607	3577	872
1608	3579	869
1609	3580	867
1610	3582	865
1611	3583	862
1612	3585	860
1613	3587	857
1614	3590	856
1615	3592	853
1616	3594	851
1617	3596	849
1618	3598	846
1619	3599	844
1620	3601	842
1621	3603	839
1622	3605	837
1623	3607	835
1624	3609	832
1625	3611	830
1626	3613	828
1627	3614	825
1628	3616	823
1629	3617	821
1630	3619	818
1631	3621	816
1632	3623	814
1633	3625	812
1634	3627	809
1635	3628	807
1636	3630	805
1637	3631	802
1638	3634	800
1639	3636	798
1640	3638	795
1641	3640	793
1642	3641	791
1643	3643	788
1644	3644	786
1645	3646	784
1646	3647	781
1647	3649	779
1648	3650	777
1649	3652	774
1650	3654	772
1651	3655	770
1652	3657	767
1653	3659	765
1654	3660	763
1655	3662	760
1656	3663	758
1657	3665	756
1658	3666	753
1659	3668	751
1660	3669	749
1661	3671	746
1662	3673	744
1663	3674	742
1664	3676	739
1665	3677	737
1666	3679	734
1667	3680	732
1668	3682	730
1669	3683	727
1670	3685	725
1671	3687	723
1672	3688	720
1673	3690	718
1674	3691	716
1675	3693	713
1676	3694	711
1677	3696	709
1678	3697	706
1679	3699	704
1680	3701	702
1681	3702	700
1682	3704	697
1683	3705	695
1684	3707	693
1685	3708	690
1686	3710	688
1687	3711	686
1688	3712	683
1689	3714	681
1690	3716	679
1691	3717	676
1692	3719	674
1693	3720	672
1694	3722	669
1695	3723	667
1696	3725	665
1697	3727	662
1698	3728	660
